OBJECTID,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Community,PageName,Depth_Grid,Scenario_Frequency,InvDmgPct,InventoryCostUSD,GridName
22,169143310000501,Schuyler,4,AGR1,29157,29157,1,4931,7,-0.42,2,12.4525,66.167511,76.452499,19290,22290,58380,99960,Schuyler County,Schuyler County 5 - ACE 0.2%,12.126251,ACE 0.2,100,58383,DEPTH_ACE02_ILRIVER
23,169143220001402,Schuyler,4,AGR1,1401,1401,1,517,7,-1.42,2,3.607744,17.430977,62.254208,240,870,5520,6630,Schuyler County,Schuyler County 5 - ACE 0.2%,2.187744,ACE 0.2,90.193604,6121,DEPTH_ACE02_ILRIVER
24,169143220001501,Schuyler,1,RES1,24651,12326,1,1688,4,3.73,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 5 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
25,169143220001401,Schuyler,4,AGR1,7393,7393,1,2728,7,-0.39,3,,0,0,0,0,0,0,Schuyler County,Schuyler County 5 - ACE 0.2%,,ACE 0.2,0,32300,DEPTH_ACE02_ILRIVER
26,169143410000101,Schuyler,4,AGR1,15040,15040,1,864,1,-1.26,2,16.83037,83.660744,78,12580,11730,10230,34540,Schuyler County,Schuyler County 5 - ACE 0.2%,15.570374,ACE 0.2,100,10230,DEPTH_ACE02_ILRIVER
27,169143410000102,Schuyler,1,RES1,37323,37323,1,2144,7,4.55,1,8.82735,70.309402,73.654701,26240,27490,0,53730,Schuyler County,Schuyler County 5 - ACE 0.2%,13.37735,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
28,169143410000104,Schuyler,4,AGR1,25189,25189,1,1447,7,-0.13,1,15.01696,79.050888,77.01696,19910,19400,17130,56440,Schuyler County,Schuyler County 5 - ACE 0.2%,14.886963,ACE 0.2,100,17132,DEPTH_ACE02_ILRIVER
29,169143410000103,Schuyler,4,AGR1,24719,24719,1,1420,7,-0.57,1,15.14223,79.426704,77.142235,19630,19070,16810,55510,Schuyler County,Schuyler County 5 - ACE 0.2%,14.572235,ACE 0.2,100,16813,DEPTH_ACE02_ILRIVER
30,169142320000501,Schuyler,1,RES1,11089,11089,1,2192,5,2.65,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
31,169141340000303,Schuyler,4,AGR1,13897,13897,1,2747,7,-1.2,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,32524,DEPTH_ACE02_ILRIVER
32,169141340000301,Schuyler,4,AGR1,13897,13897,1,2747,7,-0.18,2,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,32524,DEPTH_ACE02_ILRIVER
33,169141340000302,Schuyler,1,RES1,10882,10882,2,2151,4,3.73,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
34,169141340000304,Schuyler,4,AGR1,13897,13897,1,2747,7,-0.35,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,32524,DEPTH_ACE02_ILRIVER
35,169151715100301,Schuyler,1,RES1,36726,18363,1,2450,4,4,4,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
36,169151711000501,Schuyler,1,RES1,22794,11397,1,1340,4,2.4,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
37,169151711000401,Schuyler,1,RES1,21018,10509,1,985,4,3.26,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
38,169151715100201,Schuyler,1,RES1,39228,19614,2,2300,4,2.48,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
39,169151820000101,Schuyler,4,AGR1,13044,13044,1,912,7,0.45,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,10798,DEPTH_ACE02_ILRIVER
40,169151711000201,Schuyler,4,AGR1,5649,5649,1,360,7,1.27,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,-118388,DEPTH_ACE02_ILRIVER
