OBJECTID_1 *,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,InventoryCostUSD,Community,PageName,Scenario_Frequency,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Depth_Grid,InvDmgPct,GridName
1,17901012920300500,East Peoria,2,COM8,521070,521071,1,6558,7,0.22,1,0,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
2,17901013220500800,East Peoria,2,COM1,6262020,6262021,1,669,7,0.29,1,4609,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,8.76,33.02,87.76,2067930,5495290,4320,7567540,9.05,93.76,DEPTH_ACE02_ILRIVER
3,17901012940103300,East Peoria,2,COM1,131820,131821,1,2228,7,0.15,4,15351,East Peoria,East Peoria 1 - ACE 0.2%,ACE 0.2,1.11,9.54,27.72,12570,36540,5060,54170,1.26,32.94,DEPTH_ACE02_ILRIVER
4,17901013230101100,East Peoria,1,RES1,27450,27450,1,637,4,2.35,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.99,81,39,22230,10710,0,32940,18.34,0,DEPTH_ACE02_ILRIVER
5,17901013211401500,East Peoria,2,COM3,248970,248971,1,4888,7,0.46,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.75,63.26,98,157490,243990,0,401480,18.21,0,DEPTH_ACE02_ILRIVER
6,17901013230701800,East Peoria,1,RES1,25430,25430,2,811,4,3.5,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.04,66.08,60,16800,15260,0,32060,17.54,0,DEPTH_ACE02_ILRIVER
7,17901013211801900,East Peoria,1,RES1,42540,42540,1,1205,4,2.97,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.21,81,39,34460,16590,0,51050,15.18,0,DEPTH_ACE02_ILRIVER
8,17901013211801300,East Peoria,1,RES1,16708,16708,1,775,4,0.75,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.61,81,39,13530,6520,0,20050,17.36,0,DEPTH_ACE02_ILRIVER
9,17901013230400600,East Peoria,1,RES1,46440,46440,1,1141,4,3.4,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.9,81,39,37620,18110,0,55730,21.3,0,DEPTH_ACE02_ILRIVER
10,17901013230400500,East Peoria,1,RES1,45420,45420,2,1197,4,3.37,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.81,71.81,60,32620,27250,0,59870,21.18,0,DEPTH_ACE02_ILRIVER
11,17901013230000900,East Peoria,1,RES1,33810,33810,2,1001,4,1.5,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,20.45,75.89,60,25660,20290,0,45950,21.95,0,DEPTH_ACE02_ILRIVER
12,17901013211602900,East Peoria,1,RES1,70380,70380,1,1723,4,2,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.23,81,39,57010,27450,0,84460,20.23,0,DEPTH_ACE02_ILRIVER
13,17901013230300100,East Peoria,1,RES1,28740,28740,2,1026,4,3.29,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14,66,60,18970,17240,0,36210,17.29,0,DEPTH_ACE02_ILRIVER
14,17901013230301300,East Peoria,1,RES1,11805,11806,1,798,4,2.27,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.84,81,39,9560,4600,0,14160,17.11,0,DEPTH_ACE02_ILRIVER
15,17901013220301600,East Peoria,1,RES1,44310,44310,1,1348,7,2.36,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,11.98,76.96,79.96,34100,35430,0,69530,14.34,0,DEPTH_ACE02_ILRIVER
16,17901012920102400,East Peoria,2,COM1,4153740,4153741,1,211974,7,0.73,1,1460501,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
17,17901013230501200,East Peoria,1,RES1,24840,24840,1,641,4,1.39,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.4,81,39,20120,9690,0,29810,19.79,0,DEPTH_ACE02_ILRIVER
18,17901013230500800,East Peoria,1,RES1,23985,23986,1,831,4,2.15,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.03,81,39,19430,9360,0,28790,20.18,0,DEPTH_ACE02_ILRIVER
19,17901013211500200,East Peoria,1,RES1,23160,23160,1,1112,4,2.19,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.65,81,39,18760,9030,0,27790,21.84,0,DEPTH_ACE02_ILRIVER
20,17901013211400100,East Peoria,2,COM3,8520,8521,1,1986,7,0.42,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.74,63.21,98,5390,8350,0,13740,18.16,0,DEPTH_ACE02_ILRIVER
21,17901012940501000,East Peoria,2,COM1,162360,162361,1,10376,7,0.49,4,71491,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,4.84,19.69,76.44,31970,124110,59760,215840,5.33,83.6,DEPTH_ACE02_ILRIVER
22,17901012940103200,East Peoria,2,COM8,684540,684541,1,17429,7,0.86,4,0,East Peoria,East Peoria 1 - ACE 0.2%,ACE 0.2,-0.25,0.75,9.79,5160,67050,0,72210,0.61,0,DEPTH_ACE02_ILRIVER
23,17901013211600600,East Peoria,1,RES1,41970,41970,1,905,4,2.9,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.46,81,39,34000,16370,0,50370,19.36,0,DEPTH_ACE02_ILRIVER
24,17901013230602600,East Peoria,1,RES1,37830,37830,1,1442,4,1.5,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.59,81,39,30640,14750,0,45390,19.09,0,DEPTH_ACE02_ILRIVER
25,17901013211100500,East Peoria,2,COM1,379814,379815,1,12256,7,0.74,1,84444,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.36,39.43,89.36,149770,339400,80220,569390,11.1,95,DEPTH_ACE02_ILRIVER
26,17901013210600100,East Peoria,1,RES1,21330,21330,1,1204,4,2.79,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.83,81,39,17280,8320,0,25600,15.62,0,DEPTH_ACE02_ILRIVER
27,17901012830000900,East Peoria,3,IND2,1948111,1948112,1,135994,7,3.92,1,1229386,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,-2.37,0,0,0,0,0,0,1.55,0,DEPTH_ACE02_ILRIVER
28,17901012940600400,East Peoria,2,COM1,600090,600091,1,16776,7,0.51,2,115587,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
29,17901013320000400,East Peoria,2,COM2,511140,511141,1,20936,7,4,1,161207,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
30,17901012840001000,East Peoria,1,RES4,5913420,5913420,4,17515,7,0.4,1,0,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,1.21,3.42,12.7,202530,751000,0,953530,1.61,0,DEPTH_ACE02_ILRIVER
31,17901013230401700,East Peoria,1,RES1,44400,22200,1,1177,4,4.12,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.37,81,39,35960,8660,0,44620,20.49,0,DEPTH_ACE02_ILRIVER
32,17901013230600400,East Peoria,1,RES1,29118,29118,2,1409,4,3.41,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.24,66.49,60,19360,17470,0,36830,17.65,0,DEPTH_ACE02_ILRIVER
33,17901013211502100,East Peoria,2,COM3,40440,40441,1,1871,7,0.17875,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,22.06,78.23,98,31640,39630,0,71270,22.24,0,DEPTH_ACE02_ILRIVER
34,17901013211702800,East Peoria,2,COM3,64410,64411,1,8188,7,0.4,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.19,64.77,98,41720,63120,0,104840,18.59,0,DEPTH_ACE02_ILRIVER
35,17901013240102300,East Peoria,1,RES1,36090,36090,2,1336,4,1.91,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.53,64.06,60,23120,21650,0,44770,14.44,0,DEPTH_ACE02_ILRIVER
36,17901013230701400,East Peoria,1,RES1,54692,54692,2,1335,4,2.65,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.7,65.7,60,35940,32820,0,68760,16.35,0,DEPTH_ACE02_ILRIVER
37,17901012920102600,East Peoria,2,COM1,1076719,1076720,1,12856,7,0.72,1,88578,East Peoria,East Peoria 1 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
38,17901013230200200,East Peoria,1,RES1,25800,25800,1,883,4,0.8,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.89,81,39,20900,10060,0,30960,18.69,0,DEPTH_ACE02_ILRIVER
39,17901013230300700,East Peoria,1,RES1,25920,25920,1,825,4,3.28,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.59,81,39,21000,10110,0,31110,16.87,0,DEPTH_ACE02_ILRIVER
40,17901013211601500,East Peoria,1,RES1,23055,23056,1,1543,4,0.28,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,20.92,81,39,18680,8990,0,27670,21.2,0,DEPTH_ACE02_ILRIVER
41,17901013211601800,East Peoria,1,RES1,240,240,1,1217,7,0.00375,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,20.7,83,80,200,190,0,390,20.7,0,DEPTH_ACE02_ILRIVER
42,17901013220403900,East Peoria,2,COM1,215831,215832,1,9893,7,0.58,1,68163,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,5.98,22.94,82.91,49520,178940,61280,289740,6.56,89.91,DEPTH_ACE02_ILRIVER
43,17901013211700800,East Peoria,1,RES1,25500,25500,1,743,4,0.78,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.16,81,39,20660,9940,0,30600,17.94,0,DEPTH_ACE02_ILRIVER
44,17901013230401800,East Peoria,1,RES1,8333,8334,2,580,7,0.44,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,21.76,52.76,60,4400,5000,0,9400,22.2,0,DEPTH_ACE02_ILRIVER
45,17901013230602000,East Peoria,1,RES1,12064,12064,1,469,4,4.12,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.41,81,39,9770,4700,0,14470,17.53,0,DEPTH_ACE02_ILRIVER
46,17901013230602000,East Peoria,1,RES1,46196,46196,1,1796,4,2.05,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.91,81,39,37420,18020,0,55440,17.96,0,DEPTH_ACE02_ILRIVER
47,17901013211801200,East Peoria,1,RES1,31230,31230,1,952,4,2.62,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.58,81,39,25300,12180,0,37480,17.2,0,DEPTH_ACE02_ILRIVER
48,17901013211701000,East Peoria,1,RES1,17790,8895,1,1365,4,3.13,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.92,81,39,14410,3470,0,17880,17.05,0,DEPTH_ACE02_ILRIVER
49,17901013211601000,East Peoria,1,RES1,19121,19122,1,1343,4,3.58,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.32,81,39,15490,7460,0,22950,19.9,0,DEPTH_ACE02_ILRIVER
50,17901013230603100,East Peoria,1,RES1,66000,33000,1,1473,4,2.18,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.78,81,39,53460,12870,0,66330,17.96,0,DEPTH_ACE02_ILRIVER
51,17901013240102600,East Peoria,1,RES1,41610,41610,1,1365,4,3.7,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.23,80.23,39,33380,16230,0,49610,13.93,0,DEPTH_ACE02_ILRIVER
52,17901013230702200,East Peoria,1,RES1,11385,11386,1,874,7,0.10125,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.66,81.66,80,9300,9110,0,18410,16.76,0,DEPTH_ACE02_ILRIVER
53,17901013211101200,East Peoria,1,RES1,38130,38130,1,1247,4,2.71,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.01,81,39,30880,14870,0,45750,15.72,0,DEPTH_ACE02_ILRIVER
54,17901013220200600,East Peoria,2,COM8,38730,38731,2,3191,7,1.51,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,8.43,23.71,83.86,9180,32480,0,41660,9.94,0,DEPTH_ACE02_ILRIVER
55,17901013211700700,East Peoria,1,RES1,8915,8916,2,544,4,2,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.22,69.44,60,6190,5350,0,11540,18.22,0,DEPTH_ACE02_ILRIVER
56,17901013242000100,East Peoria,2,COM4,115437,115438,1,2630,7,0.37,1,0,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,9.1,47.29,58.2,54590,67180,0,121770,9.47,0,DEPTH_ACE02_ILRIVER
57,17901013240000500,East Peoria,1,RES1,53310,53310,1,1955,4,2.4,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,11.71,81,39,43180,20790,0,63970,14.11,0,DEPTH_ACE02_ILRIVER
58,17901013211702500,East Peoria,1,RES1,27900,27900,1,999,4,4.26,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.14,81,39,22600,10880,0,33480,18.4,0,DEPTH_ACE02_ILRIVER
59,17901012830000900,East Peoria,3,IND2,21631,21632,1,1510,7,0.5,1,13650,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,0.34,3.74,3.08,810,670,650,2130,0.84,4.79,DEPTH_ACE02_ILRIVER
60,17901012840002000,East Peoria,2,COM2,32989068,32989069,2,261818,7,3.67,1,2015999,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,-2.85,0,0,0,0,0,0,0.82,0,DEPTH_ACE02_ILRIVER
61,17901013230402600,East Peoria,1,RES1,30870,30870,1,1141,4,2.61,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.75,81,39,25000,12040,0,37040,22.36,0,DEPTH_ACE02_ILRIVER
62,17901013230301100,East Peoria,1,RES1,24750,24750,1,1355,4,2.15,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.24,81,39,20050,9650,0,29700,16.39,0,DEPTH_ACE02_ILRIVER
63,17901013211601000,East Peoria,1,RES1,10038,10038,1,705,4,2.8,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.7,81,39,8130,3920,0,12050,19.5,0,DEPTH_ACE02_ILRIVER
64,17901013240200100,East Peoria,3,IND4,84841,84842,1,12178,7,0.4,1,239663,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.65,46.3,58.95,39280,50020,167650,256950,11.05,69.95,DEPTH_ACE02_ILRIVER
65,17901013230601600,East Peoria,1,RES1,54870,54870,2,1316,4,3.29,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.97,65.97,60,36200,32920,0,69120,17.26,0,DEPTH_ACE02_ILRIVER
66,17901013211101100,East Peoria,1,RES1,38680,38680,1,1608,4,2.74,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.16,81,39,31330,15080,0,46410,16.9,0,DEPTH_ACE02_ILRIVER
67,17901013310001500,East Peoria,1,RES4,359795,359796,2,6004,7,0.73,1,0,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
68,17901013230101400,East Peoria,1,RES1,23204,23204,1,835,4,0.87,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,20.21,81,39,18800,9050,0,27850,21.08,0,DEPTH_ACE02_ILRIVER
69,17901013240102400,East Peoria,1,RES1,30420,30420,2,1234,4,3.55,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.04,59.09,58.09,17980,17670,0,35650,13.59,0,DEPTH_ACE02_ILRIVER
70,17901013230701500,East Peoria,1,RES1,43710,43710,2,980,4,3.79,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.42,65.42,60,28590,26230,0,54820,17.21,0,DEPTH_ACE02_ILRIVER
71,17901013240000400,East Peoria,1,RES1,41280,41280,1,984,4,2.22,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.07,81,39,33440,16100,0,49540,15.29,0,DEPTH_ACE02_ILRIVER
72,17901013230101000,East Peoria,1,RES1,27330,27330,1,760,4,2.77,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.47,81,39,22140,10660,0,32800,18.24,0,DEPTH_ACE02_ILRIVER
73,17901013211502400,East Peoria,1,RES1,65370,65370,1,1290,4,2.51,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.72,81,39,52950,25490,0,78440,22.23,0,DEPTH_ACE02_ILRIVER
74,17901013230703200,East Peoria,1,RES1,50160,25080,1,939,4,3.58,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.09,81,39,40630,9780,0,50410,16.67,0,DEPTH_ACE02_ILRIVER
75,17901013240000800,East Peoria,1,RES1,47040,47040,2,1102,4,2.92,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.61,60.22,59.22,28330,27860,0,56190,13.53,0,DEPTH_ACE02_ILRIVER
76,17901013220401700,East Peoria,2,COM4,8190,8191,1,1393,7,0.63,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,6.99,40.97,54.97,3360,4500,0,7860,7.62,0,DEPTH_ACE02_ILRIVER
77,17901012840000900,East Peoria,2,COM4,28802,28803,1,620,7,0.25,1,0,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,3.21,23.24,36.65,6690,10560,0,17250,3.46,0,DEPTH_ACE02_ILRIVER
78,17901012830000500,East Peoria,3,IND2,176001,176002,1,2362,7,0.19,1,21352,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,5.73,28.93,56.4,50920,99270,14080,164270,5.92,65.93,DEPTH_ACE02_ILRIVER
79,17901013330900100,East Peoria,2,COM2,161010,161011,1,49461,7,1.9,1,380850,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
80,17901013330300400,East Peoria,1,RES1,51570,25785,1,1045,4,2.59,1,0,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
81,17901013230503100,East Peoria,1,RES1,11790,11790,1,718,7,0.365,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.71,83,80,9790,9430,0,19220,20.07,0,DEPTH_ACE02_ILRIVER
82,17901013211500900,East Peoria,1,RES1,22859,22860,1,656,4,1,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.92,81,39,18520,8920,0,27440,20.92,0,DEPTH_ACE02_ILRIVER
83,17901013220301500,East Peoria,1,RES1,17460,17460,1,958,7,1.14,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.36,80.36,80,14030,13970,0,28000,15.5,0,DEPTH_ACE02_ILRIVER
84,17901013211801300,East Peoria,1,RES1,17053,17054,1,791,4,0.86,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.95,81,39,13810,6650,0,20460,16.81,0,DEPTH_ACE02_ILRIVER
85,17901013210500800,East Peoria,1,RES1,38700,38700,2,1357,4,2.8,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.61,64.23,60,24860,23220,0,48080,15.41,0,DEPTH_ACE02_ILRIVER
86,17901013230701000,East Peoria,1,RES1,35100,35100,1,1049,4,2.48,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.36,81,39,28430,13690,0,42120,16.84,0,DEPTH_ACE02_ILRIVER
87,17901013230300400,East Peoria,1,RES1,33540,33540,1,978,4,3,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.96,81,39,27170,13080,0,40250,16.96,0,DEPTH_ACE02_ILRIVER
88,17901013211802200,East Peoria,1,RES1,43950,43950,1,1583,4,3.23,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.34,80.34,39,35310,17140,0,52450,13.57,0,DEPTH_ACE02_ILRIVER
89,17901013211100900,East Peoria,1,RES1,6840,6840,1,257,4,0.48,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.32,81,39,5540,2670,0,8210,16.8,0,DEPTH_ACE02_ILRIVER
90,17901013211001000,East Peoria,1,RES3C,67500,67500,1,10787,7,1.12,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.43,50.43,60,34040,40500,0,74540,15.55,0,DEPTH_ACE02_ILRIVER
91,17901013211500100,East Peoria,1,RES1,24450,24450,1,856,5,2.35,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.21,83,80,20290,19560,0,39850,21.56,0,DEPTH_ACE02_ILRIVER
92,17901013211400600,East Peoria,1,RES1,24570,24570,1,1949,7,0.65,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.62,82,80,20150,19660,0,39810,18.27,0,DEPTH_ACE02_ILRIVER
93,17901013230501600,East Peoria,1,RES1,72720,72720,1,1717,4,2.88,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.11,81,39,58900,28360,0,87260,20.99,0,DEPTH_ACE02_ILRIVER
94,17901013211801600,East Peoria,1,RES1,24810,24810,1,921,4,2.8,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.32,81,39,20100,9680,0,29780,17.12,0,DEPTH_ACE02_ILRIVER
95,17901013211801300,East Peoria,1,RES1,18195,18196,1,844,4,1.08,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.91,81,39,14740,7100,0,21840,16.99,0,DEPTH_ACE02_ILRIVER
96,17901013230400900,East Peoria,1,RES1,35910,35910,1,1005,4,2.3,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.51,81,39,29090,14000,0,43090,21.81,0,DEPTH_ACE02_ILRIVER
97,17901013240103100,East Peoria,1,RES1,10160,10160,2,877,4,0.3,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.13,66.25,60,6730,6100,0,12830,14.43,0,DEPTH_ACE02_ILRIVER
98,17901013220403200,East Peoria,6,GOV2,3674450,3674452,2,13765,7,0.72,4,0,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,2.98,10.98,37.63,403430,1382550,0,1785980,3.7,0,DEPTH_ACE02_ILRIVER
99,17901013230602700,East Peoria,2,COM8,60330,60331,1,2520,7,1.7,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.21,57.63,95.21,34770,57440,0,92210,18.91,0,DEPTH_ACE02_ILRIVER
100,17901013220403900,East Peoria,2,COM1,214631,214632,1,9838,7,0.54,1,67784,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,6.05,23.16,83.11,49720,178380,61080,289180,6.59,90.11,DEPTH_ACE02_ILRIVER
101,17901013310001500,East Peoria,1,RES4,633655,633656,2,10574,7,0.45,1,0,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
102,17901012940400800,East Peoria,2,COM1,4485810,4485811,1,162656,7,0.32,4,1120700,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
103,17901013230101300,East Peoria,1,RES1,45441,45442,1,1432,4,1.95,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.85,81,39,36810,17720,0,54530,18.8,0,DEPTH_ACE02_ILRIVER
104,17901013211300900,East Peoria,1,RES1,29250,14625,2,1007,4,3.47,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.59,68.59,60,20060,8780,0,28840,19.06,0,DEPTH_ACE02_ILRIVER
105,17901013240300300,East Peoria,2,COM3,78083,78084,1,18882,7,0.47,1,0,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,-0.32,0,2.72,0,2120,0,2120,0.15,0,DEPTH_ACE02_ILRIVER
106,17901013230701900,East Peoria,1,RES1,16507,16508,1,988,4,3.56,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,13.95,81,39,13370,6440,0,19810,17.51,0,DEPTH_ACE02_ILRIVER
107,17901013220203300,East Peoria,2,COM4,659280,659281,2,8336,7,1.89,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,5.3,35.9,49.9,236670,328970,0,565640,7.19,0,DEPTH_ACE02_ILRIVER
108,17901012920100200,East Peoria,2,COM8,674070,674071,1,5326,7,0.57,1,0,East Peoria,East Peoria 1 - ACE 0.2%,ACE 0.2,2.91,11.91,63.22,80310,426160,0,506470,3.48,0,DEPTH_ACE02_ILRIVER
109,17901013230701400,East Peoria,1,RES1,32938,32938,1,804,7,2.15,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.29,80.29,80,26450,26350,0,52800,16.44,0,DEPTH_ACE02_ILRIVER
110,17901013220401600,East Peoria,2,COM1,47730,47731,1,1810,7,0.88,1,12471,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,6.83,25.5,84.67,12170,40410,11430,64010,7.71,91.67,DEPTH_ACE02_ILRIVER
111,17901013211702600,East Peoria,1,RES1,11520,11520,2,1026,4,1.9,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.63,70.26,60,8090,6910,0,15000,18.53,0,DEPTH_ACE02_ILRIVER
112,17901013240103100,East Peoria,1,RES1,12314,12314,1,1063,7,1.75,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,11.84,76.68,79.68,9440,9810,0,19250,13.59,0,DEPTH_ACE02_ILRIVER
113,17901013230702300,East Peoria,1,RES1,13422,13422,1,1015,4,1.44,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.29,81,39,10870,5240,0,16110,16.73,0,DEPTH_ACE02_ILRIVER
114,17901013230601100,East Peoria,1,RES1,68549,68550,1,2213,7,0.1,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.26,83,80,56900,54840,0,111740,19.36,0,DEPTH_ACE02_ILRIVER
115,17901013240101300,East Peoria,1,RES1,12960,12960,1,1352,4,2.48,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.78,81,39,10500,5050,0,15550,15.26,0,DEPTH_ACE02_ILRIVER
116,17901013230703400,East Peoria,1,RES1,17250,17250,1,276,4,1.79,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.08,81,39,13970,6730,0,20700,16.87,0,DEPTH_ACE02_ILRIVER
117,17901013230201100,East Peoria,1,RES1,18750,18750,2,1047,4,2.43,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.48,66.97,60,12560,11250,0,23810,16.91,0,DEPTH_ACE02_ILRIVER
